Date,Humidity,Evaporation,Rainfall,Temperature,Precipitation,Wind Speed
18-05-2000,29.40828133,1.36E-05,0,314.4941406,0.75,12.15009499
19-05-2000,40.1911087,7.15E-06,9.54E-07,310.952179,0,11.87318134
20-05-2000,51.51282501,9.83E-06,0,308.7808533,1.8046875,6.993794441
21-05-2000,82.29618073,1.91E-06,9.54E-07,302.9350281,0.0078125,4.90098381
22-05-2000,86.81993103,1.55E-06,0,302.1226196,0.796875,7.195089817
23-05-2000,78.84375,3.28E-06,2.00E-05,303.3891907,4.15625,4.540052891
24-05-2000,58.90625,1.60E-05,5.72E-06,305.7473755,0.234375,10.85022449
25-05-2000,42.68344879,2.06E-05,0,311.1102295,0,12.25499249
26-05-2000,43.38028336,2.11E-05,0,311.6694336,0,15.01990318
27-05-2000,49.72278976,1.73E-05,0,310.7132568,0,16.6967392
28-05-2000,53.36247253,1.56E-05,0,309.3567505,0,14.5994854
29-05-2000,64.53295898,1.01E-05,0,306.0320129,0,14.5723629
30-05-2000,47.99780273,1.82E-05,0,310.7379761,0.359375,10.90547848
31-05-2000,47.84371567,1.84E-05,1.91E-06,309.821228,0.90625,8.480489731
01-06-2000,48.62578201,1.59E-05,0,309.5718384,0.203125,10.51512146
02-06-2000,60.28106689,1.00E-05,9.54E-06,306.7314453,1.125,10.55500221
03-06-2000,44.28014374,1.79E-05,4.77E-06,309.0428772,0.015625,8.19765377
04-06-2000,61.30131912,7.03E-06,0,306.4438477,1.59375,10.27535057
05-06-2000,66.30020142,8.70E-06,1.14E-05,304.3247986,0.265625,15.24733257
06-06-2000,82.44555664,3.93E-06,0,302.3432312,1.9609375,13.52974796
07-06-2000,82.3125,3.58E-06,2.57E-05,302.0161743,0.1875,11.82432938
08-06-2000,79.0625,7.57E-06,6.68E-06,302.7076721,0.0625,11.83691788
09-06-2000,63.90821838,1.42E-05,1.53E-05,305.7631531,0.453125,8.075670242
10-06-2000,67.42626953,9.42E-06,3.81E-05,305.875946,2.15625,8.377979279
